"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)"
2.853881950E0,6.889978647E-1,1.241724491E0,-1.220340729E-1
2.861877340E0,6.628919840E-1,1.185211182E0,-5.423164368E-2
2.869873652E0,4.712704420E-1,1.152108192E0,3.564763069E-1
2.877870580E0,8.612692356E-2,9.765639305E-1,8.054533005E-1
2.885865048E0,-2.494243383E-1,7.117514610E-1,1.440366268E0
2.893860745E0,-3.985725641E-1,4.370284081E-1,1.977416039E0
2.901856058E0,-2.332760096E-1,2.324371338E-1,2.242945194E0
2.909883525E0,-5.360794067E-2,5.590009689E-2,1.953856945E0
2.917880684E0,1.706798077E-1,-8.351993561E-2,1.333618641E0
2.925874613E0,3.186622858E-1,-1.003713608E-1,8.380670547E-1
2.933872156E0,3.842618465E-1,-5.539894104E-2,4.107952118E-1
2.941864700E0,3.371002674E-1,-1.464924812E-1,2.760267258E-1
2.949859781E0,9.881222248E-2,-1.584329605E-1,2.876815796E-1
2.957889326E0,-4.676866531E-2,-3.037447929E-1,3.738598824E-1
2.965885331E0,1.435102224E-1,-5.848636627E-1,6.893424988E-1
2.973879567E0,3.746465445E-1,-7.842645645E-1,9.255256653E-1
2.981874341E0,3.861920834E-1,-1.022112846E0,9.752640724E-1
